,yyyymmdd,NO$_2$/CO,Fire Name,Mean HWP,Mean HWP Bin,NO$_2$/CO + min
140,20200822T195132,0.0008612968701025614,Lionshead,4.68983212,"[0.0, 8.0)",0.0013612968701025613
141,20200823T193224,0.0004955686716742024,Lionshead,15.574219654999998,"[15.0, 22.0)",0.0009955686716742024
142,20200825T203537,0.0006723729178022291,Lionshead,18.530487785,"[15.0, 22.0)",0.0011723729178022293
143,20200826T201629,0.0006007393428682428,Lionshead,13.726807245,"[8.0, 15.0)",0.0011007393428682428
144,20200828T193814,0.0003723763381880199,Lionshead,10.549106515,"[8.0, 15.0)",0.0008723763381880199
145,20200829T210037,0.0006719387264965965,Lionshead,24.49681587,"[22.0, 30.0)",0.0011719387264965964
146,20200830T204129,0.0009982671295165621,Lionshead,14.224924569999999,"[8.0, 15.0)",0.0014982671295165621
147,20200902T194407,0.001033617570091045,Lionshead,16.501515294999997,"[15.0, 22.0)",0.001533617570091045
148,20200903T192459,0.000238025302829781,Lionshead,12.050937639999999,"[8.0, 15.0)",0.000738025302829781
149,20200903T210629,0.0004198184157881258,Lionshead,12.050937639999999,"[8.0, 15.0)",0.0009198184157881258
150,20200904T204721,0.00187225905947971,Lionshead,21.76083219,"[15.0, 22.0)",0.00237225905947971
151,20200905T202813,0.0006275364529730518,Lionshead,31.536977365000002,"[30.0, 38.0)",0.0011275364529730518
152,20200906T200905,0.0002069290370089108,Lionshead,14.42889858,"[8.0, 15.0)",0.0007069290370089108
153,20200907T194958,0.0002773288806360376,Lionshead,30.510348370000003,"[30.0, 38.0)",0.0007773288806360376
154,20200911T201455,5.95794831156874e-05,Lionshead,17.568027555,"[15.0, 22.0)",0.0005595794831156874
155,20200913T193639,0.0002376351317341685,Lionshead,42.6580709,"[38.0, 45.0)",0.0007376351317341685
156,20200914T205901,0.0001794318588377695,Lionshead,49.983545690000014,"[45.0, 52.0)",0.0006794318588377695
157,20200916T202045,0.0001104767106183576,Lionshead,19.19193827,"[15.0, 22.0)",0.0006104767106183577
158,20200919T192320,0.0002427645310900651,Lionshead,3.3230305199999997,"[0.0, 8.0)",0.0007427645310900651
159,20200920T204541,2.932634657391217e-06,Lionshead,6.694038204,"[0.0, 8.0)",0.0005029326346573912
160,20200921T202633,0.0001944520804104661,Lionshead,15.764339705000001,"[15.0, 22.0)",0.0006944520804104661
161,20200922T200725,0.000135465277169826,Lionshead,11.4095575785,"[8.0, 15.0)",0.000635465277169826
162,20200818T192633,0.002573583011882322,LNUComplex,22.376731659999997,"[22.0, 30.0)",0.003073583011882322
163,20200819T204855,0.001614437485427936,LNUComplex,69.84719621500001,"[68.0, 75.0)",0.002114437485427936
164,20200820T202947,0.0004833489638476766,LNUComplex,24.24264216,"[22.0, 30.0)",0.0009833489638476766
165,20200821T201039,0.001034913214136278,LNUComplex,17.450488,"[15.0, 22.0)",0.001534913214136278
166,20200822T195132,0.001895815416795541,LNUComplex,16.042173589999997,"[15.0, 22.0)",0.0023958154167955407
167,20200823T193224,0.001091010096165179,LNUComplex,39.228200835,"[38.0, 45.0)",0.001591010096165179
168,20200825T203537,0.000844514634316897,LNUComplex,17.408287254999998,"[15.0, 22.0)",0.001344514634316897
169,20200826T201629,0.0007802072315774072,LNUComplex,19.694317849999997,"[15.0, 22.0)",0.0012802072315774072
170,20210731T210309,0.001360144191615725,McFarland,27.566063200000002,"[22.0, 30.0)",0.001860144191615725
171,20210801T204403,0.002652361971031177,McFarland,45.117848525,"[45.0, 52.0)",0.003152361971031177
172,20210802T202458,0.001726673193389193,McFarland,38.832030724999996,"[38.0, 45.0)",0.002226673193389193
173,20210805T210909,0.0002322664033606626,McFarland,26.627162825,"[22.0, 30.0)",0.0007322664033606627
174,20210805T192740,5.453736448865036e-05,McFarland,26.627162825,"[22.0, 30.0)",0.0005545373644886503
175,20210806T205003,0.000385735284423109,McFarland,18.997086185,"[15.0, 22.0)",0.000885735284423109
176,20210807T203057,0.0001326037710056422,McFarland,22.54249136,"[22.0, 30.0)",0.0006326037710056422
177,20210808T201151,0.0004962340824244252,McFarland,16.19269275,"[15.0, 22.0)",0.0009962340824244253
178,20210809T195244,0.0004593841847426293,McFarland,23.466966890000002,"[22.0, 30.0)",0.0009593841847426294
179,20210810T193338,0.0001344007657192964,McFarland,30.04858681,"[30.0, 38.0)",0.0006344007657192964
180,20210810T211507,0.0003236895215774931,McFarland,30.04858681,"[30.0, 38.0)",0.0008236895215774931
181,20210811T205601,0.000225800814028895,McFarland,19.85179032,"[15.0, 22.0)",0.000725800814028895
182,20210811T191431,6.517919639038721e-06,McFarland,19.85179032,"[15.0, 22.0)",0.0005065179196390387
183,20210812T203654,0.0001186591446280565,McFarland,21.86838822,"[15.0, 22.0)",0.0006186591446280565
184,20210813T201748,9.567562696776814e-05,McFarland,20.04418675,"[15.0, 22.0)",0.0005956756269677681
185,20210814T195841,0.0002130281447095414,McFarland,21.652579435,"[15.0, 22.0)",0.0007130281447095414
186,20210815T193934,0.0003770657375588408,McFarland,35.827838125,"[30.0, 38.0)",0.0008770657375588408
187,20210816T210157,0.0006023583114560725,McFarland,47.371937745000004,"[45.0, 52.0)",0.0011023583114560726
188,20210816T192028,0.0005931696176555982,McFarland,47.371937745000004,"[45.0, 52.0)",0.0010931696176555983
189,20210817T204250,0.001070013878798776,McFarland,54.837816305000004,"[52.0, 60.0)",0.001570013878798776
190,20210818T202343,0.0005305703930875783,McFarland,50.22983513,"[45.0, 52.0)",0.0010305703930875783
