yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,CO_DACOM
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,44.0,42222.95953703704,47.921397,-116.405264,429.48,7002.0,96.58
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,45.0,42222.95954861112,47.921528,-116.407464,428.64,7016.0,98.18
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,46.0,42222.95956018518,47.921627,-116.409663,427.82,7030.0,97.1
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,47.0,42222.95957175926,47.921696,-116.411859,427.02,7043.0,96.03
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,48.0,42222.95958333334,47.921735,-116.41405,426.22,7057.0,97.0
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,49.0,42222.95959490741,47.921748,-116.416237,425.42,7072.0,99.4
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,50.0,42222.95960648148,47.921741,-116.418419,424.62,7086.0,99.03
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,51.0,42222.95961805555,47.921719,-116.420595,423.81,7101.0,96.25
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,52.0,42222.95962962963,47.921689,-116.422766,422.98,7115.0,97.77
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,53.0,42222.959641203706,47.921654,-116.424936,422.19,7128.0,96.77
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,54.0,42222.959652777776,47.921616,-116.427105,421.46,7140.0,97.69
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,55.0,42222.95966435185,47.921578,-116.429274,420.78,7150.0,99.11
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,56.0,42222.95967592593,47.92154,-116.431444,420.21,7160.0,101.13
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,57.0,42222.9596875,47.921505,-116.433614,419.67,7169.0,103.78
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,58.0,42222.95969907408,47.921473,-116.435784,419.17,7177.0,104.0
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,59.0,42222.95971064815,47.921445,-116.437955,418.65,7186.0,101.33
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,0.0,42222.95972222222,47.921427,-116.440125,418.16,7194.0,100.55
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,1.0,42222.9597337963,47.92142,-116.442295,417.68,7202.0,101.69
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,2.0,42222.95974537037,47.921428,-116.444466,417.2,7211.0,99.87
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,3.0,42222.959756944445,47.921452,-116.446636,416.74,7219.0,100.29
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,4.0,42222.95976851852,47.921492,-116.448807,416.27,7227.0,103.75
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,5.0,42222.95978009259,47.921547,-116.450977,415.83,7234.0,104.53
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,6.0,42222.95979166667,47.921619,-116.453147,415.38,7242.0,102.71
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,7.0,42222.95980324074,47.92171,-116.455315,414.94,7250.0,101.96
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,8.0,42222.959814814814,47.921819,-116.45748,414.46,7259.0,100.62
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,9.0,42222.95982638889,47.921946,-116.459643,413.98,7267.0,101.13
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,10.0,42222.95983796296,47.92209,-116.461804,413.54,7275.0,100.95
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,11.0,42222.95984953704,47.922252,-116.463964,413.09,7284.0,100.24
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,12.0,42222.95986111112,47.922431,-116.466122,412.65,7292.0,100.13
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,13.0,42222.959872685184,47.922623,-116.468278,412.21,7299.0,99.84
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,14.0,42222.95988425926,47.922825,-116.470433,411.78,7306.0,99.64
