yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,NO2_CL
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,16.0,42222.96060185185,47.934686,-116.608346,396.85,7574.0,0.04153
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,17.0,42222.96061342592,47.934788,-116.610672,396.72,7577.0,0.02641
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,18.0,42222.960625,47.93488,-116.613004,396.56,7580.0,0.03367
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,19.0,42222.96063657408,47.934961,-116.61534,396.43,7583.0,0.01287
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,20.0,42222.96064814815,47.93503,-116.61768,396.27,7585.0,0.01793
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,21.0,42222.96065972222,47.935087,-116.620024,396.13,7588.0,0.06728
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,22.0,42222.9606712963,47.935131,-116.622373,396.0,7590.0,0.01108
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,23.0,42222.96068287037,47.935164,-116.624726,395.88,7593.0,0.04217
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,24.0,42222.960694444446,47.935184,-116.627082,395.78,7595.0,-0.00798
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,25.0,42222.96070601852,47.935191,-116.629443,395.64,7597.0,0.00423
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,26.0,42222.96071759259,47.935187,-116.631807,395.52,7599.0,0.0416
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,27.0,42222.96072916667,47.935171,-116.634175,395.4,7602.0,0.03022
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,28.0,42222.96074074074,47.935148,-116.636545,395.28,7604.0,-0.03536
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,29.0,42222.960752314815,47.935119,-116.638919,395.16,7606.0,-0.00639
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,30.0,42222.96076388889,47.935087,-116.641296,395.04,7607.0,0.07869
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,31.0,42222.96077546296,47.935053,-116.643677,394.94,7609.0,0.01533
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,32.0,42222.96078703704,47.935015,-116.646062,394.84,7611.0,0.03185
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,33.0,42222.96079861111,47.934977,-116.648449,394.73,7613.0,0.03763
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,34.0,42222.96081018519,47.934937,-116.650839,394.65,7615.0,0.04959
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,35.0,42222.96082175926,47.934897,-116.653232,394.53,7618.0,0.02866
